id,race,sex,food,test,area
1M,mrace,fem,mik,d1,20.504
2M,mrace,mle,mik,d1,82.94
3M,mrace,fem,mik,d1,69.675
4M,mrace,mle,mik,d1,16.773
5M,mrace,fem,mik,d1,118.112
6M,mrace,mle,mik,d1,121.548
7M,mrace,mle,mik,d1,10.505
8M,mrace,mle,mik,d1,12.033
9M,mrace,mle,mik,d1,20.186
10M,mrace,mle,mik,d1,35.433
11M,mrace,fem,mik,d1,0
12M,mrace,fem,mik,d1,190.094
13M,mrace,mle,mik,d1,3.948
14M,mrace,mle,mik,d1,9.372
15M,mrace,fem,mik,d1,20.699
1K,lrace,fem,leu,d1,96.158
2K,lrace,mle,leu,d1,137.98
3K,lrace,fem,leu,d1,84.867
4K,lrace,fem,leu,d1,536.244
5K,lrace,mle,leu,d1,188.921
1M,mrace,fem,leu,d2,NA
2M,mrace,mle,leu,d2,NA
3M,mrace,fem,leu,d2,NA
4M,mrace,mle,leu,d2,NA
5M,mrace,fem,leu,d2,NA
6M,mrace,mle,leu,d2,NA
7M,mrace,mle,leu,d2,NA
8M,mrace,mle,leu,d2,NA
9M,mrace,mle,leu,d2,NA
10M,mrace,mle,leu,d2,NA
11M,mrace,fem,leu,d2,NA
12M,mrace,fem,leu,d2,NA
13M,mrace,mle,leu,d2,NA
14M,mrace,mle,leu,d2,NA
15M,mrace,fem,leu,d2,NA
1K,lrace,fem,mik,d2,0
2K,lrace,mle,mik,d2,108.011
3K,lrace,fem,mik,d2,5.366
4K,lrace,fem,mik,d2,279.102
5K,lrace,mle,mik,d2,201.033
1M,mrace,fem,mik,d3,NA
2M,mrace,mle,mik,d3,NA
3M,mrace,fem,mik,d3,NA
4M,mrace,mle,mik,d3,NA
5M,mrace,fem,mik,d3,NA
6M,mrace,mle,mik,d3,NA
7M,mrace,mle,mik,d3,NA
8M,mrace,mle,mik,d3,NA
9M,mrace,mle,mik,d3,NA
10M,mrace,mle,mik,d3,NA
11M,mrace,fem,mik,d3,NA
12M,mrace,fem,mik,d3,NA
13M,mrace,mle,mik,d3,NA
14M,mrace,mle,mik,d3,NA
15M,mrace,fem,mik,d3,NA
1K,lrace,fem,leu,d3,3.26
2K,lrace,mle,leu,d3,29.831
3K,lrace,fem,leu,d3,0
4K,lrace,fem,leu,d3,44.605
5K,lrace,mle,leu,d3,0
