accnum,id,host,sex,loc,mik,leu,reuse,total
U140,1M,mik,fem,KM2,20.504,195.991,186.296,216.495
U141,2M,mik,mle,KM2,82.94,71.052,124.073,153.992
U142,3M,mik,fem,KM2,69.675,78.651,52.857,148.326
U143,4M,mik,mle,KM2,16.773,0,138.51,16.773
U144,5M,mik,fem,KM2,118.112,0,357.648,118.112
U145,6M,mik,mle,KM2,121.548,6.979,92.762,128.527
U146,7M,mik,mle,KM2,10.505,0,85.931,10.505
U147,8M,mik,mle,KM2,12.033,0,71.858,12.033
U148,9M,mik,mle,KM2,20.186,31.492,153.025,51.678
U149,10M,mik,mle,KM2,35.433,0,146.552,35.433
U150,11M,mik,fem,KM2,0,0,0,0
U151,12M,mik,fem,KM2,190.094,38.588,194.943,228.682
U152,13M,mik,mle,KM2,3.948,0,185.047,3.948
U153,14M,mik,mle,KM2,9.372,15.388,60.749,24.76
U154,15M,mik,fem,KM2,20.699,0,121.548,20.699
U155,1K,leu,fem,KP,0,96.158,3.26,96.158
U156,2K,leu,mle,KP,108.011,137.98,29.831,245.991
U157,3K,leu,fem,KP,5.366,84.867,0,90.233
U158,4K,leu,fem,KP,279.102,536.244,44.605,815.346
U159,5K,leu,mle,KP,201.033,188.921,0,389.954
