host,pop,family,food,total,surv,rsurv,stg
mik,SIWA,SIWA.HD.008.1,mik,10,10,1,1st
mik,SIWA,SIWA.HD.008.3,mik,5,5,1,1st
mik,SIWA,SIWA.HD.008.4,mik,7,7,1,1st
mik,SIWA,SIWA.HD.008.1,leu,10,10,1,1st
mik,SIWA,SIWA.HD.008.3,leu,5,5,1,1st
mik,SIWA,SIWA.HD.008.4,leu,6,6,1,1st
mik,SIWA,SIWA.HD.008.1,col,10,10,1,1st
mik,SIWA,SIWA.HD.008.3,col,5,5,1,1st
mik,SIWA,SIWA.HD.008.4,col,7,7,1,1st
mik,MASG,MASG.HD.004.2,mik,10,10,1,1st
mik,MASG,MASG.HD.004.1,mik,10,10,1,1st
mik,MASG,MASG.HD.004.5,mik,10,10,1,1st
mik,MASG,MASG.HD.004.2,leu,10,10,1,1st
mik,MASG,MASG.HD.004.1,leu,10,10,1,1st
mik,MASG,MASG.HD.004.5,leu,10,10,1,1st
mik,MASG,MASG.HD.004.2,col,10,10,1,1st
mik,MASG,MASG.HD.004.1,col,10,10,1,1st
mik,MASG,MASG.HD.004.5,col,10,10,1,1st
leu,MINA,MINA.HD.013.1,mik,3,3,1,1st
leu,MINA,MINA.HD.013.2,mik,3,3,1,1st
leu,MINA,MINA.HD.013.3,mik,4,4,1,1st
leu,MINA,MINA.HD.013.4,mik,2,2,1,1st
leu,MINA,MINA.HD.013.5,mik,3,3,1,1st
leu,MINA,MINA.HD.013.6,mik,3,3,1,1st
leu,MINA,MINA.HD.013.1,leu,4,4,1,1st
leu,MINA,MINA.HD.013.2,leu,3,3,1,1st
leu,MINA,MINA.HD.013.3,leu,3,3,1,1st
leu,MINA,MINA.HD.013.4,leu,3,3,1,1st
leu,MINA,MINA.HD.013.5,leu,3,3,1,1st
leu,MINA,MINA.HD.013.6,leu,3,3,1,1st
leu,MINA,MINA.HD.013.1,col,3,3,1,1st
leu,MINA,MINA.HD.013.2,col,3,3,1,1st
leu,MINA,MINA.HD.013.3,col,3,3,1,1st
leu,MINA,MINA.HD.013.4,col,2,2,1,1st
