source,year,province,location,lat,lon,pop,type,host,count,confirmed,beetle,label,notes,lat_dd,lon_dd,elevation
INT,2023,Central Sulawesi,Boyobaliase,"00¡56'50.95"" S","119¡50'55.92"" E",BBAL,host,Mikania,0,no,no,yes,NA,-0.947486111,119.8488667,82
INT,2023,Central Sulawesi,Uwemanje,"00¡57'47.37"" S","119¡49'47.19"" E",UWEM,host,Coleus,0,no,no,yes,NA,-0.963158333,119.829775,416
INT,2023,Central Sulawesi,Matantimali,"00¡57'24.58"" S","119¡48'38.37"" E",MATA,host,no,0,no,no,yes,NA,-0.956827778,119.8106583,752
INT,2023,Central Sulawesi,Paneki,"00¡57'48.00"" S","119¡58'26.23"" E",PANK,host,no,0,no,no,yes,NA,-0.963333333,119.9739528,535
INT,2023,Central Sulawesi,Wera,"01¡02'39.01"" S","119¡51'06.22"" E",WERA,host,Coleus,0,yes,no,yes,Salvia,-1.044169444,119.8517278,571
INT,2023,Central Sulawesi,Tondo,"0¡49'52.5"" S","119¡52'56.6"" E",TOND,host,no,0,no,no,yes,NA,-0.83125,119.8823889,88
INT,2023,Central Sulawesi,Nupa Bomba Uwentira,"00¡43'30.88"" S","120¡00'08.68"" E",NUBO1,beetle,Mikania,2,yes,yes,yes,NA,-0.725244444,120.0024111,896
INT,2023,Central Sulawesi,Nupa Bomba Uwentira,"00¡43'36.87"" S","120¡00'31.93"" E",NUBO2,beetle,Mikania,5,yes,yes,yes,NA,-0.726908333,120.0088694,896
INT,2023,Central Sulawesi,Toboli Uwentira,"00¡42'54.61"" S","120¡03'11.37"" E",TOBB,host,no,0,no,no,yes,TOBO,-0.715169444,120.0531583,573
INT,2023,Central Sulawesi,Masigi,"00¡48'26.402"" S","120¡09'54.345"" E",KAMP,beetle,Mikania,1,yes,yes,no,MASG1,-0.807333889,120.1650958,28
INT,2023,Central Sulawesi,Masigi,"00¡48'54.61"" S","120¡10'00.93"" E",MASG,beetle,Mikania,20,yes,yes,yes,MASG2,-0.815169444,120.166925,7
INT,2023,Central Sulawesi,Masigi,"00¡48'50.03"" S","120¡08'27.14"" E",PAPU,host,Leucas,0,no,no,no,MASG3,-0.813897222,120.1408722,94
INT,2023,Central Sulawesi,Masigi,"00¡48'24.85"" S","120¡08'08.75"" E",JOKA1,host,Leucas,0,yes,no,no,MASG4,-0.806902778,120.1357639,94
INT,2023,Central Sulawesi,Pindolo,"02¡03'58.478"" S","120¡41'30.825"" E",PIND,beetle,Mikania,6,yes,yes,yes,NA,-2.066243889,120.6918958,512
INT,2023,South Sulawesi,Masamba,"02¡34'25.752"" S","120¡25'02.022"" E",MASA,host,Leucas,0,yes,no,yes,NA,-2.57382,120.4172283,39
INT,2023,South Sulawesi,Siwa,"03¡42'16.872"" S","120¡24'59.502"" E",SIWA,beetle,Mikania,8,yes,yes,yes,NA,-3.704686667,120.4165283,13
