accnum,id,host,sex,loc,ely_len_ely
U141,2M,mik,mle,KAMP,4.446
U143,4M,mik,mle,KAMP,4.909
U145,6M,mik,mle,KAMP,4.263
U146,7M,mik,mle,KAMP,4.699
U147,8M,mik,mle,KAMP,4.698
U148,9M,mik,mle,KAMP,4.404
U149,10M,mik,mle,KAMP,4.607
U152,13M,mik,mle,KAMP,4.572
U153,14M,mik,mle,KAMP,4.835
U140,1M,mik,fem,KAMP,4.551
U142,3M,mik,fem,KAMP,4.826
U144,5M,mik,fem,KAMP,5.162
U150,11M,mik,fem,KAMP,5.438
U151,12M,mik,fem,KAMP,4.78
U154,15M,mik,fem,KAMP,4.899
U156,2K,leu,mle,KAMP,5.135
U159,5K,leu,mle,KAMP,4.823
U155,1K,leu,fem,KAMP,5.429
U157,3K,leu,fem,KAMP,5.435
U158,4K,leu,fem,KAMP,5.03
